,집계 날짜(sumDate),교통량(trafficSum)
607,20200314,2957401
608,20200313,3383982
609,20200312,3157640
610,20200311,3102884
611,20200310,2771467
612,20200309,3088198
613,20200308,2267354
614,20200307,2615979
615,20200306,3272641
616,20200305,2983784
617,20200304,2936540
618,20200303,2945026
619,20200302,2945134
620,20200301,1908972
621,20200229,2480703
622,20200228,3013282
623,20200227,3003947
624,20200226,2975356
625,20200225,2664855
626,20200224,3089742
627,20200223,2133648
628,20200222,2791841
629,20200221,3476660
630,20200220,3337665
631,20200219,3304551
632,20200218,3183342
633,20200217,3011249
634,20200216,2413540
635,20200215,3342824
636,20200214,3655419
637,20200213,3317496
638,20200212,3013298
639,20200211,3312118
640,20200210,3294086
641,20200209,2450367
642,20200208,3056362
643,20200207,3475879
644,20200206,3164019
645,20200205,3117734
646,20200204,3209630
647,20200203,3234757
648,20200202,2376418
649,20200201,3011927
650,20200131,3481623
651,20200130,3299129
652,20200129,3261941
653,20200128,3112571
654,20200127,2596229
655,20200126,3712092
656,20200125,4650941
657,20200124,3643052
658,20200123,3644800
659,20200122,3570187
660,20200121,3539866
661,20200120,3492986
